,landmark
389,111296
390,132314
391,91895
392,200954
393,190231
394,186634
395,3185
396,19946
397,189231
398,28661
399,143583
400,129601
401,159162
402,33186
403,123450
404,141969
405,28955
406,168342
407,111747
408,48711
409,6587
410,63620
411,65772
412,141094
413,41689
414,200004
415,169510
416,7868
417,98385
418,31172
419,136
420,98900
421,194061
422,109447
423,34143
424,166674
425,135770
426,41037
427,15587
428,105873
429,21081
430,41451
431,158202
432,4125
433,160852
434,189363
435,60948
436,138424
437,200642
438,151070
439,100847
440,47892
441,62757
442,25602
443,169748
444,102488
445,19057
446,192485
447,165243
448,38275
449,24634
450,169684
451,151951
452,82948
453,107042
454,143954
455,70481
456,81132
457,158921
458,165468
459,32086
460,66774
461,87002
462,31415
463,15118
464,162751
465,134456
466,23785
467,106602
468,140267
469,101692
470,32160
471,40152
472,163378
473,133302
474,67130
475,140049
476,10236
477,41874
478,107750
479,197648
480,102904
481,183531
482,85238
483,94320
484,147375
485,116744
486,174252
487,197341
488,114357
489,80177
490,122791
491,123994
492,173291
493,83892
494,15182
495,24024
496,191177
497,77354
498,195305
499,18409
500,57601
501,20823
502,105512
503,57718
504,108946
505,84582
506,152827
507,33658
508,108684
509,130039
510,90436
511,129783
512,136138
513,61782
514,127316
515,18797
516,15427
517,151271
518,125058
519,26066
520,16177
521,27733
522,56939
523,45003
524,99049
525,89494
526,107854
527,151475
528,196230
529,72566
530,117
531,76941
532,73340
533,25847
534,137203
535,5901
536,188359
537,198011
538,111159
539,59682
540,73304
541,183956
542,187320
543,164937
544,11889
545,199318
546,21703
547,124292
548,23858
549,16690
550,119216
551,101530
552,150147
553,10090
554,114946
555,155224
556,4393
557,7284
558,138360
559,155414
560,176044
561,58939
562,195519
563,57330
564,44660
565,135567
566,86175
567,43141
568,76253
569,66355
570,149091
571,173825
572,111289
573,200127
574,181268
575,18739
576,80692
577,73300
578,192235
579,118898
580,140680
581,103618
582,137783
583,105024
584,97439
585,115683
586,161350
587,91980
588,176760
589,50117
590,9321
591,195994
592,46356
593,31206
594,149243
595,189180
596,103823
597,160896
598,184433
599,153105
600,106101
601,159809
602,138908
603,175815
604,36953
605,81471
606,149980
607,18224
608,106993
609,55290
610,108972
611,5930
612,98919
613,7494
614,22148
615,81785
616,190045
617,124477
618,120166
619,130876
620,62690
621,89102
622,70669
623,155802
624,178528
625,32004
626,61245
627,20805
628,34282
629,184919
630,4226
631,5519
632,120777
633,79688
634,109359
635,128483
636,123970
637,93992
638,171198
639,30826
640,88012
641,173045
642,8098
643,177615
644,145298
645,88408
646,8296
647,61018
648,50631
649,84309
650,190956
651,158169
652,185804
653,106059
654,197321
655,10968
656,71336
657,184014
658,49297
659,75026
660,94881
661,127012
662,174662
663,25631
664,92195
665,82008
666,12252
667,124984
668,156424
669,60144
670,85088
671,176018
672,40488
673,198093
674,29367
675,75140
676,183717
677,115091
678,73630
679,162929
680,128509
681,13425
682,41478
683,184313
684,16658
685,191276
686,14559
687,54757
688,138237
689,105627
690,19618
691,95353
692,111646
693,27607
694,120053
695,53067
696,42244
697,69975
698,27579
699,134339
700,15142
701,44368
702,7240
703,102969
704,89057
705,39825
706,143574
707,188919
708,50448
709,28936
710,147628
711,173518
712,26686
713,55815
714,189907
715,49439
716,35110
717,117194
718,143359
719,115927
720,100895
721,167616
722,12693
723,159392
724,104235
725,145474
726,117117
727,79576
728,145429
729,25378
730,44568
731,151651
732,164121
733,159784
734,117688
735,196328
736,57939
737,196990
738,144290
739,36121
740,27653
741,74052
742,182973
743,51860
744,173396
745,3702
746,181786
747,82239
748,113418
749,82214
750,107567
751,59454
752,137515
753,111382
754,94413
755,69372
756,83144
757,93598
758,56881
759,180420
760,98415
761,123283
762,147342
763,53103
764,198955
765,36076
766,1196
767,167282
768,2733
769,60442
770,65906
771,172357
772,23439
773,57019
774,126746
775,48387
776,13092
777,6601
778,138395
779,93340
780,200317
781,88338
782,15194
783,153998
784,135706
785,176089
786,148872
787,69371
788,49804
789,166802
790,84844
791,133530
792,41600
793,8799
794,16217
795,153803
796,168887
797,87205
798,198616
799,135014
800,171150
801,84905
802,131377
803,166269
804,178675
805,60349
806,142663
807,116911
808,164882
809,79857
810,133841
811,129102
812,120556
813,19928
814,164062
815,143919
816,101794
817,65410
818,186166
819,58295
820,32484
821,24918
822,165889
823,17102
824,9913
825,108384
826,156630
827,72197
828,79219
829,64412
830,129724
831,60532
832,8325
833,62458
834,125478
835,171137
836,26051
837,37728
838,107927
839,119730
840,5905
841,81994
842,59905
843,74232
844,181586
845,1422
846,130632
847,143881
848,187974
849,200604
850,110616
851,33483
852,173918
853,106229
854,18924
855,180646
856,51508
857,48604
858,107935
859,57943
860,12517
861,17556
862,198526
863,64327
864,113636
865,106969
866,186115
867,89894
868,70294
869,102839
870,144654
871,172016
872,79539
873,130502
874,133179
875,146950
876,66478
877,138931
878,181738
879,145895
880,163184
881,67208
882,89601
883,20885
884,146468
885,24129
886,150183
887,193957
888,15791
889,147775
890,35546
891,73346
892,167092
893,127516
894,60749
895,26801
896,50798
897,147106
898,130702
899,144737
900,40002
901,167324
902,114646
903,3355
904,61268
905,61937
906,91644
907,72834
908,188862
909,183541
910,165011
911,62494
912,82364
913,118158
914,165572
915,61629
916,154695
917,153945
918,188047
919,28197
920,188088
921,13705
922,187923
923,30081
924,111333
925,55003
926,29882
927,99389
928,45028
929,145068
930,21846
931,86725
932,42891
933,13047
934,17701
935,19238
936,97834
937,21635
938,105956
939,13515
940,79847
941,147990
942,110504
943,184290
944,16301
945,176956
946,45819
947,184915
948,94581
949,42945
950,139894
951,185311
952,103171
953,70336
954,87906
955,7073
956,47133
957,143388
958,50149
959,188550
960,115138
961,130614
962,95905
963,18647
964,151942
965,67611
966,116124
967,8341
968,202721
969,168669
970,136093
971,132498
972,192021
973,60328
974,156693
975,54785
976,172905
977,73965
978,59880
979,64997
980,86803
981,176528
982,9531
983,197881
984,32009
985,116265
986,127894
987,177284
988,145428
989,130222
990,117862
991,184717
992,73793
993,186169
994,30374
995,71813
996,159103
997,45347
998,106456
999,102988
1000,154419
1001,144720
1002,5088
1003,6057
1004,159610
1005,148481
1006,88483
1007,136150
1008,130960
1009,181334
1010,202144
1011,68120
1012,195071
1013,69858
1014,133563
1015,147363
1016,49229
1017,153024
1018,193239
1019,189304
1020,2594
1021,64322
1022,96155
1023,53286
1024,20541
1025,20516
1026,147704
1027,140029
1028,164992
1029,10289
1030,51221
1031,167941
1032,167702
1033,123641
1034,60050
1035,107611
1036,170225
1037,44010
1038,143050
1039,154234
1040,46624
1041,91285
1042,122199
1043,80272
1044,140841
1045,86878
1046,56237
1047,79077
1048,95850
1049,38868
1050,198508
1051,157909
1052,103590
1053,66151
1054,177452
1055,74584
1056,22508
1057,21839
1058,60344
1059,164083
1060,103813
1061,185896
1062,57107
1063,5723
1064,115919
1065,22825
1066,60885
1067,14151
1068,48291
1069,202898
1070,51589
1071,31464
1072,179405
1073,163769
1074,19735
1075,13828
1076,11989
1077,166973
1078,95516
1079,175796
1080,37713
1081,174834
1082,2957
1083,57546
1084,4970
1085,48568
1086,71132
1087,28768
1088,89384
1089,80019
1090,171034
1091,1924
1092,141527
1093,3288
1094,173469
1095,90396
1096,194914
1097,115196
1098,127261
1099,111237
1100,19053
1101,98993
1102,47000
1103,5267
1104,196600
1105,121167
1106,136827
1107,123479
1108,132053
1109,26906
1110,21218
1111,13983
1112,17788
1113,97654
1114,36748
1115,73772
1116,38733
1117,6056
1118,43845
1119,195676
1120,193986
1121,13328
1122,16623
1123,41161
1124,163060
1125,194186
1126,183170
1127,107594
1128,196682
1129,18853
1130,64125
1131,36504
1132,189661
1133,110424
1134,102419
1135,9535
1136,76506
1137,59024
1138,173986
1139,186727
1140,197818
1141,175145
1142,98896
1143,136212
1144,138270
1145,64824
1146,192928
1147,11373
1148,60045
1149,70558
1150,181701
1151,34513
1152,121054
1153,32201
1154,188844
1155,46541
1156,162569
1157,28761
1158,33910
1159,35782
1160,93304
1161,21576
1162,140192
1163,95733
1164,58653
1165,23271
1166,17233
1167,149054
1168,2636
1169,151964
1170,130834
1171,166812
1172,197536
1173,161898
1174,158844
1175,170351
1176,179129
1177,82272
1178,71621
1179,146343
1180,10538
1181,82847
1182,170717
1183,105694
1184,77259
1185,140036
1186,22074
1187,97671
1188,199929
1189,115821
1190,67273
1191,36957
1192,82878
1193,158467
1194,146597
1195,28951
1196,127442
1197,147237
1198,187225
1199,11062
1200,128628
1201,75245
1202,88834
1203,54715
1204,191001
1205,92508
1206,179419
1207,201728
1208,4478
1209,158638
1210,135653
1211,183077
1212,29523
1213,187193
1214,89768
1215,18392
1216,120241
1217,172767
1218,12063
1219,136664
1220,68109
1221,171435
1222,163227
1223,172438
1224,3676
1225,189992
1226,147815
1227,151608
1228,72446
1229,114927
1230,106819
1231,131036
1232,163700
1233,33714
1234,106945
1235,76191
1236,38732
1237,139366
1238,37719
1239,170093
1240,77352
1241,172855
1242,198157
1243,149395
1244,160593
1245,125015
1246,169904
1247,192662
1248,128402
1249,86371
1250,72168
1251,181523
1252,169130
1253,199630
1254,99772
1255,34547
1256,110885
1257,96790
1258,41759
1259,159854
1260,113866
1261,200288
1262,6725
1263,60563
1264,61662
1265,122418
1266,20149
1267,57230
1268,8149
1269,48185
1270,36494
1271,31482
1272,195608
1273,106466
1274,76449
1275,121878
1276,22230
1277,64911
1278,21925
1279,60960
1280,113475
1281,96093
1282,134936
1283,193164
1284,124101
1285,133550
1286,4228
1287,158054
1288,199166
1289,74607
1290,35142
1291,103794
1292,87455
1293,57798
1294,68495
1295,46915
1296,120885
1297,38575
1298,117300
1299,197586
1300,115350
1301,29380
1302,114189
1303,59770
1304,187936
1305,109544
1306,142961
1307,56957
1308,200989
1309,196358
1310,1241
1311,70470
1312,92746
1313,85220
1314,117076
1315,105688
1316,70716
1317,134262
1318,82106
1319,55037
1320,143121
1321,32075
1322,152985
1323,187123
1324,174853
1325,67506
1326,151754
1327,92063
1328,189313
1329,161315
1330,189805
1331,19748
1332,61125
1333,76343
1334,154682
1335,83149
1336,147682
1337,185455
1338,93111
1339,32184
1340,39569
1341,67103
1342,60512
1343,180689
1344,195966
1345,157077
1346,39497
1347,106852
1348,199546
1349,100051
1350,111859
1351,171935
1352,67480
1353,81438
1354,7307
1355,40348
1356,14989
1357,44595
1358,2429
1359,191140
1360,49323
1361,90032
1362,27430
1363,202445
1364,149403
1365,144099
1366,110718
1367,104457
1368,20994
1369,15136
1370,190241
1371,4641
1372,51300
1373,202268
1374,167331
1375,136569
1376,34650
1377,146072
1378,193739
1379,33992
1380,90785
1381,43235
1382,41690
1383,193643
1384,30016
1385,186190
1386,180260
1387,168311
1388,33096
1389,139816
1390,200714
1391,5578
1392,170363
1393,34966
1394,183322
1395,38891
1396,144006
1397,172184
1398,5724
1399,197667
1400,159199
1401,158624
1402,10422
1403,107362
1404,67702
1405,194297
1406,68740
1407,169572
1408,61995
1409,135777
1410,22225
1411,144221
1412,183547
1413,139404
1414,78304
1415,31821
1416,96982
1417,114253
1418,111017
1419,140180
1420,96805
1421,123884
1422,36988
1423,43902
1424,32132
1425,141033
1426,25451
1427,62306
1428,100367
1429,84810
1430,190113
1431,196117
1432,108579
1433,165569
1434,56723
1435,109364
1436,27635
1437,94002
1438,164773
1439,162663
1440,19601
1441,148603
1442,12965
1443,65530
1444,118102
1445,116865
1446,115312
1447,131780
1448,195145
1449,140487
1450,8560
1451,11544
1452,109159
1453,88090
1454,73931
1455,73465
1456,1666
1457,19647
1458,4177
1459,191316
1460,32290
1461,69376
1462,63584
1463,54373
1464,200097
1465,112907
1466,112237
1467,93038
1468,38302
1469,124252
1470,14295
1471,186084
1472,104906
1473,49111
1474,121919
1475,102397
1476,3823
1477,33515
1478,110395
1479,76260
1480,27251
1481,107917
1482,22130
1483,143225
1484,182374
1485,73349
1486,190972
1487,84689
1488,180765
1489,99799
1490,144981
1491,198312
1492,123061
1493,32922
1494,172666
1495,159623
1496,90582
1497,31252
1498,95756
1499,33609
1500,38069
1501,73289
1502,97342
1503,133425
1504,67929
1505,117101
1506,97051
1507,102943
1508,181964
1509,182162
1510,122800
1511,151966
1512,33567
1513,131065
1514,66461
1515,125036
1516,88831
1517,140765
1518,91844
1519,75967
1520,177780
1521,121899
1522,192969
1523,118099
1524,79798
1525,19418
1526,177165
1527,110362
1528,49207
1529,17359
1530,195739
1531,81022
1532,150790
1533,13766
1534,138336
1535,140564
1536,91059
1537,97734
1538,34097
1539,192701
1540,112260
1541,184435
1542,138401
1543,99702
1544,106445
1545,77209
1546,135237
1547,136675
1548,16289
1549,82880
1550,189393
1551,74067
1552,159768
1553,188755
1554,182852
1555,17096
1556,131955
1557,150069
1558,188720
1559,170475
1560,91012
1561,178720
1562,161859
1563,15710
1564,194954
1565,181317
1566,86722
1567,76038
1568,120330
1569,64203
1570,160721
1571,121019
1572,16025
1573,76898
1574,70935
1575,78880
1576,86504
1577,4913
1578,13190
1579,171668
1580,5156
1581,166794
1582,100674
1583,200057
1584,78558
1585,81247
1586,41648
1587,100450
1588,111145
1589,32742
1590,182949
1591,39074
1592,41936
1593,105656
1594,128155
1595,114935
1596,36407
1597,97142
1598,42549
1599,194974
1600,18022
1601,1933
1602,181832
1603,144979
1604,30771
1605,73181
1606,76054
1607,94130
1608,98523
1609,69915
1610,31094
1611,64183
1612,11031
1613,167061
1614,111297
1615,65758
1616,157515
1617,133985
1618,87086
1619,132708
1620,180119
1621,85693
1622,106315
1623,111239
1624,83357
1625,51699
1626,126556
1627,199458
1628,9810
1629,28042
1630,147765
1631,88006
1632,92190
1633,156931
1634,43760
1635,190953
1636,172593
1637,16344
1638,42472
1639,198541
1640,148310
1641,10471
1642,44726
1643,48423
1644,145412
1645,170702
1646,24721
1647,92480
1648,127668
1649,84184
1650,78562
1651,130331
1652,115418
1653,80470
1654,53148
1655,40717
1656,163147
1657,160396
1658,73731
1659,24862
1660,130598
1661,36717
1662,23974
1663,6795
1664,193740
1665,167030
1666,117065
1667,5155
1668,17275
1669,1496
1670,174877
1671,113743
1672,14065
1673,1668
1674,122614
1675,137541
1676,11362
1677,182935
1678,83962
1679,198848
1680,39626
1681,37718
1682,183469
1683,10492
1684,191394
1685,174654
1686,84484
1687,187751
1688,123502
1689,10269
1690,178267
1691,121088
1692,35005
1693,95650
1694,101377
1695,127765
1696,178065
1697,20517
1698,46416
1699,151115
1700,64140
1701,25040
1702,162339
1703,177530
1704,142457
1705,99309
1706,99744
1707,126721
1708,4259
1709,55307
1710,131437
1711,79112
1712,182195
1713,163602
1714,94210
1715,74879
1716,6495
1717,31141
1718,99183
1719,134118
1720,2093
1721,159904
1722,78694
1723,33021
1724,7753
1725,195708
1726,88596
1727,11355
1728,155971
1729,188369
1730,45084
1731,91091
1732,138635
1733,198657
1734,115983
1735,23998
1736,46966
1737,146388
1738,69945
1739,134657
1740,63122
1741,3690
1742,47176
1743,17820
1744,47040
1745,202443
1746,158170
1747,115486
1748,60722
1749,36601
1750,188553
1751,30609
1752,102206
1753,48478
1754,148108
1755,23027
1756,179380
1757,80421
1758,142760
1759,37065
1760,91584
1761,28231
1762,93556
1763,34632
1764,116485
1765,79765
1766,14216
1767,311
1768,11230
1769,50238
1770,163944
1771,138139
1772,48945
1773,101591
1774,26028
1775,178961
1776,70275
1777,4928
1778,67436
1779,171364
1780,67552
1781,101588
1782,122146
1783,141358
1784,95330
1785,124408
1786,13866
1787,49394
1788,50198
1789,70486
1790,155217
1791,4786
1792,75324
1793,165415
1794,29912
1795,147716
1796,29595
1797,96667
1798,51655
1799,198202
1800,40088
1801,167995
1802,145326
1803,142946
1804,64442
1805,69869
1806,21594
1807,166978
1808,14587
1809,187627
1810,82857
1811,166563
1812,201022
1813,191391
1814,160479
1815,84808
1816,63305
1817,135758
1818,186782
1819,38482
1820,114199
1821,168879
1822,46281
1823,200163
1824,159163
1825,119762
1826,98101
1827,196532
1828,29970
1829,178792
1830,166284
1831,157504
1832,350
1833,136649
1834,106395
1835,118810
1836,111529
1837,10723
1838,167297
1839,37381
1840,64325
1841,148213
1842,29082
1843,140388
1844,141998
1845,174636
1846,53713
1847,16207
1848,34637
1849,122246
1850,55350
1851,16089
1852,104012
1853,172571
1854,79499
1855,61026
1856,32539
1857,117659
1858,129134
1859,11947
1860,192540
1861,185533
1862,138886
1863,139068
1864,13977
1865,197747
1866,47378
1867,161038
1868,203006
1869,179104
1870,100087
1871,98635
1872,146624
1873,176465
1874,136000
1875,12226
1876,44094
1877,124873
1878,34853
1879,53884
1880,5659
1881,156480
1882,57378
1883,29495
1884,120371
1885,83197
1886,44338
1887,154498
1888,147486
1889,81986
1890,52363
1891,177305
1892,14699
1893,177881
1894,88858
1895,22218
1896,33864
1897,169483
1898,75637
1899,70722
1900,75523
1901,48821
1902,78609
1903,95413
1904,97791
1905,45271
1906,23209
1907,65496
1908,184181
1909,203026
1910,94575
1911,170196
1912,138473
1913,12528
1914,199044
1915,4144
1916,66511
1917,901
1918,98403
1919,27273
1920,166964
1921,122987
1922,139018
1923,104757
1924,128626
1925,145120
1926,94741
1927,168004
1928,78849
1929,25578
1930,37131
1931,87226
1932,160426
1933,99213
1934,34141
1935,43978
1936,134207
1937,199890
1938,85040
1939,37907
1940,190665
1941,76245
1942,74087
1943,88214
1944,94287
1945,123411
1946,80740
1947,182846
1948,81788
1949,15646
1950,93608
1951,196009
1952,20952
1953,173402
1954,109814
1955,117151
1956,1050
1957,25296
1958,102214
1959,66370
1960,144670
1961,110739
1962,14521
1963,69234
1964,77221
1965,70020
1966,60222
1967,156356
1968,103001
1969,56767
1970,158458
1971,44549
1972,165097
1973,82290
1974,79097
1975,59707
1976,176758
1977,56689
1978,52938
1979,123832
1980,179333
1981,4407
1982,155756
1983,8998
1984,114645
1985,143061
1986,187308
1987,33472
1988,163582
1989,144013
1990,90746
1991,60281
1992,41505
1993,147319
1994,72335
1995,113589
1996,56027
1997,131324
1998,198152
1999,96331
2000,134012
2001,195363
2002,142000
2003,132804
2004,195139
2005,69454
2006,164578
2007,33404
2008,20409
2009,14158
2010,172471
2011,185158
2012,113003
2013,161066
2014,91379
2015,191181
2016,53492
2017,76968
2018,200477
2019,20712
2020,103034
2021,15985
2022,5716
2023,43012
2024,128266
2025,107245
2026,8016
2027,181981
2028,69105
2029,115651
2030,30640
2031,134992
2032,188225
2033,14258
2034,53402
2035,69997
2036,101143
2037,61942
2038,19439
2039,62193
2040,172729
2041,114090
2042,183561
2043,66183
2044,105676
2045,53909
2046,117935
2047,167705
2048,105352
2049,5265
2050,41081
2051,190721
2052,17370
2053,61165
2054,59739
2055,92604
2056,21752
2057,100574
2058,632
2059,136062
2060,112552
2061,3296
2062,174671
2063,38984
2064,136728
2065,30006
2066,51118
2067,197519
2068,47967
2069,166557
2070,141843
2071,112203
2072,7860
2073,118140
2074,34631
2075,10419
2076,132591
2077,188407
2078,1421
2079,163261
2080,197002
2081,125135
2082,27133
2083,171409
2084,30532
2085,177674
2086,148295
2087,200916
2088,159636
2089,46705
2090,6171
2091,188056
2092,88230
2093,27367
2094,43031
2095,179602
2096,41684
2097,69756
2098,55809
2099,73092
2100,167099
2101,32776
2102,110332
2103,78765
2104,162110
2105,172045
2106,42123
2107,106313
2108,77710
2109,145562
2110,193292
2111,148992
2112,104577
2113,143926
2114,134422
2115,71605
2116,126191
2117,51576
2118,130282
2119,142092
2120,94969
2121,157479
2122,99536
2123,22897
2124,27358
2125,80851
2126,81543
2127,79715
2128,21923
2129,143515
2130,64638
2131,105018
2132,25612
2133,103232
2134,157472
2135,127398
2136,53951
2137,132671
2138,162383
2139,91136
2140,45428
2141,196776
2142,94720
2143,6774
2144,11289
2145,152697
2146,117766
2147,126100
2148,50580
2149,73727
2150,29043
2151,148663
2152,145447
2153,88115
2154,156715
2155,133515
2156,117336
2157,201998
2158,193455
2159,32638
2160,139362
2161,161833
2162,35792
2163,176878
2164,114031
2165,105071
2166,145231
2167,25762
2168,50132
2169,39770
2170,176457
2171,15844
2172,87989
2173,92188
2174,120987
2175,146318
2176,184186
2177,86113
2178,56450
2179,80070
2180,60083
2181,57190
2182,28631
2183,104599
2184,12600
2185,119570
2186,180584
2187,163131
2188,9630
2189,6355
2190,92617
2191,73594
2192,39293
2193,47600
2194,72305
2195,112815
2196,90966
2197,114448
2198,39029
2199,61089
2200,165854
2201,148884
2202,59853
2203,178812
2204,61251
2205,189654
2206,147034
2207,126875
2208,160944
2209,176463
2210,15475
2211,88612
2212,113756
2213,6314
2214,191583
2215,159668
2216,107794
2217,92893
2218,180676
2219,124913
2220,185363
2221,138662
2222,102660
2223,105343
2224,160853
2225,88758
2226,154192
2227,14915
2228,42183
2229,2796
2230,16879
2231,152854
2232,134217
2233,132465
2234,50182
2235,135481
2236,116509
2237,68416
2238,86738
2239,54001
2240,158522
2241,8920
2242,188426
2243,114303
2244,17062
2245,93198
2246,121576
2247,145310
2248,179932
2249,35969
2250,85413
2251,129722
2252,125202
2253,10863
2254,135536
2255,123611
2256,12436
2257,32444
2258,4827
2259,10984
2260,148331
2261,66006
2262,186043
2263,165635
2264,35223
2265,170376
2266,193738
2267,190193
2268,100919
2269,47918
2270,74447
2271,63529
2272,171801
2273,59817
2274,83575
2275,21899
2276,4073
2277,110054
2278,77434
2279,138688
2280,178809
2281,131089
2282,8119
2283,7190
2284,66004
2285,107593
2286,179034
2287,97396
2288,91868
2289,161201
2290,32708
2291,54507
2292,185115
2293,79787
2294,79432
2295,7110
2296,112966
2297,141521
2298,73513
2299,105294
2300,183377
2301,51784
2302,91147
2303,77293
2304,144055
2305,123354
2306,79102
2307,58729
2308,28986
2309,200144
2310,180313
2311,188135
2312,119649
2313,168201
2314,34538
2315,175848
2316,188178
2317,161591
2318,47118
2319,179959
2320,33173
2321,9941
2322,4648
2323,99996
2324,91178
2325,34659
2326,73754
2327,169889
2328,123495
2329,45865
2330,66539
2331,184286
2332,162522
2333,73406
2334,29496
2335,146114
2336,8161
2337,93559
2338,119892
2339,201452
2340,113875
2341,105337
2342,121547
2343,172337
2344,101881
2345,116293
2346,66138
2347,53069
2348,34170
2349,84187
2350,121566
2351,114378
2352,42239
2353,86751
2354,30261
2355,137830
2356,19121
2357,18004
2358,78028
2359,97113
2360,139314
2361,55623
2362,194568
2363,171970
2364,78338
2365,27339
2366,69038
2367,28567
2368,35042
2369,72037
2370,38624
2371,150502
2372,1302
2373,95297
2374,95845
2375,80342
2376,96105
2377,21712
2378,147804
2379,38156
2380,155856
2381,172411
2382,341
2383,35843
2384,133826
2385,103630
2386,4461
2387,163337
2388,154079
2389,46053
2390,1456
2391,129609
2392,198075
2393,202340
2394,31163
2395,191408
2396,69365
2397,132775
2398,162604
2399,169844
2400,112733
2401,7223
2402,105959
2403,55398
2404,109491
2405,98002
2406,16766
2407,9745
2408,34232
2409,16277
2410,115485
2411,96996
2412,78593
2413,82540
2414,134811
2415,174935
2416,10367
2417,182867
2418,58174
2419,27213
2420,45559
2421,154322
2422,69611
2423,33239
2424,1635
2425,118197
2426,136901
2427,146029
2428,11410
2429,11768
2430,179524
2431,79226
2432,110238
2433,152352
2434,68226
2435,175383
2436,153069
2437,140616
2438,86615
2439,126773
2440,198680
2441,93462
2442,66132
2443,133147
2444,179657
2445,123447
2446,195984
2447,104584
2448,44293
2449,6805
2450,138037
2451,189884
2452,146981
2453,134773
2454,15192
2455,4617
2456,83384
2457,196547
2458,20786
2459,71024
2460,10825
2461,8527
2462,82155
2463,69743
2464,72057
2465,110398
2466,171380
2467,148851
2468,42887
2469,48658
2470,202039
2471,98824
2472,55849
2473,142960
2474,55452
2475,13295
2476,49648
2477,26716
2478,86984
2479,191141
2480,87071
2481,74988
2482,47685
2483,181657
2484,69525
2485,14972
2486,149868
2487,124895
2488,17657
2489,118286
2490,198880
2491,133433
2492,100640
2493,58971
2494,120889
2495,33041
2496,195749
2497,29760
2498,157814
